feat,min_val,max_val
ntellsSinceElicit,0.0,265.0
ntellsSinceElicitKC,0.0,134.0
nElicitSinceTell,0.0,434.0
nElicitSinceTellKC,0.0,247.0
pctElicit,0.0,1.0
pctElicitKC,0.0,1.0
pctElicitSession,0.0,1.0
pctElicitKCSession,0.0,1.0
nTellSession,0.0,393.0
nTellKCSession,0.0,204.0
kcOrdering,1.0,451.0
kcOrderingSession,1.0,402.0
durationKCBetweenDecision,-19.0,1287389.0
timeInSession,0.0,102540.0
timeBetweenSession,0.0,1287388.0
timeOnTutoring,0.0,97450.0
timeOnTutoringWE,0.0,42138.0
timeOnTutoringPS,0.0,62718.0
timeOnTutoringKC,0.0,66312.0
timeOnTutoringKCWE,0.0,21959.0
timeOnTutoringKCPS,0.0,56241.0
avgTimeOnStep,-1.0,841.75
avgTimeOnStepWE,-1.0,764.3888888888889
avgTimeOnStepPS,-1.0,1204.5106382978724
avgTimeOnStepKC,-1.0,1514.923076923077
avgTimeOnStepKCWE,-1.0,1564.5
avgTimeOnStepKCPS,-1.0,1514.923076923077
timeOnLastStepKCPS,-1.0,6450.0
timeOnTutoringSession,0.0,66765.0
timeOnTutoringSessionWE,0.0,15833.0
timeOnTutoringSessionPS,0.0,62718.0
avgTimeOnStepSession,-1.0,841.75
avgTimeOnStepSessionWE,-1.0,606.7
avgTimeOnStepSessionPS,-1.0,3237.0
nTotalHint,0.0,2716.0
nTotalHintSession,0.0,2261.0
nHintKC,0.0,749.0
nHintSessionKC,0.0,616.0
AvgTimeOnStepWithHint,-1.0,9081.5
durationSinceLastHint,-9.0,865453.0
stepsSinceLastHint,0.0,555.0
stepsSinceLastHintKC,0.0,450.0
totalTimeStepsHint,0.0,20696.0
totalStepsHint,0.0,402.0
earlyTraining,0.0,1.0
simpleProblem,0.0,1.0
nKCs,0.0,450.0
nKCsAsPS,0.0,277.0
nKCsSession,0.0,401.0
nKCsSessionPS,0.0,230.0
newLevelDifficulty,0.0,1.0
nPrincipleInProblem,2.0,12.0
quantitativeDegree,0.0,0.4090909090909091
nTutorConceptsSession,0.0,2471.0
tutAverageConcepts,0.0,9.208333333333334
tutAverageConceptsSession,0.0,12.557692307692308
tutConceptsToWords,0.0,0.1244212962962963
tutConceptsToWordsSession,0.0,0.1413114044579095
tutAverageWords,0.0,216.25
tutAverageWordsSession,0.0,154.75757575757575
tutAverageWordsPS,0.0,216.25
tutAverageWordsSessionPS,0.0,260.5
nDistinctPrincipleInSession,0.0,10.0
nPrincipleInSession,0.0,110.0
problemDifficuly,8.0,52.0
problemCompexity,2.0,4.0
problemCategory,0.0,1.0
pctCorrect,-1.0,1.0
pctOverallCorrect,-1.0,1.0
nCorrectKC,0.0,248.0
nIncorrectKC,0.0,190.0
pctCorrectKC,-1.0,1.0
pctOverallCorrectKC,-1.0,1.0
nCorrectKCSession,0.0,223.0
nIncorrectKCSession,0.0,170.0
pctCorrectSession,-1.0,1.0
pctCorrectKCSession,-1.0,1.0
pctOverallCorrectSession,-1.0,1.0
pctOverallCorrectKCSession,-1.0,1.0
nStepSinceLastWrong,0.0,363.0
nStepSinceLastWrongKC,0.0,234.0
nWEStepSinceLastWrong,0.0,336.0
nWEStepSinceLastWrongKC,0.0,204.0
nStepSinceLastWrongSession,0.0,352.0
nStepSinceLastWrongKCSession,0.0,234.0
nWEStepSinceLastWrongSession,0.0,336.0
nWEStepSinceLastWrongKCSession,0.0,204.0
timeSinceLastWrongStepKC,-11.0,1287479.0
nCorrectPSStepSinceLastWrong,0.0,224.0
nCorrectPSStepSinceLastWrongKC,0.0,223.0
nCorrectPSStepSinceLastWrongKCSession,0.0,223.0
pctCorrectPrin,-1.0,1.0
pctCorrectPrinSession,-1.0,1.0
nStepSinceLastWrongPrin,0.0,142.0
nWEStepSinceLastWrongPrin,0.0,132.0
nStepSinceLastWrongPrinSession,0.0,142.0
nWEStepSinceLastWrongPrinSession,0.0,132.0
nCorrectPSStepSinceLastWrongPrin,0.0,83.0
nCorrectPSStepSinceLastWrongPrinSession,0.0,75.0
pctCorrectFirst,-1.0,1.0
nStepsSinceLastWrongFirst,0.0,24.0
nWEStepSinceLastWrongFirst,0.0,20.0
nCorrectPSStepSinceLastWrongFirst,0.0,24.0
pctCorrectLastProb,-1.0,1.0
pctCorrectLastProbPrin,-1.0,1.0
pctCorrectAdd2Select,-1.0,1.0
pctCorrectAdd3Select,-1.0,1.0
pctCorrectCompSelect,-1.0,1.0
pctCorrectDeMorSelect,-1.0,1.0
pctCorrectIndeSelect,-1.0,1.0
pctCorrectMutualSelect,-1.0,1.0
pctCorrectAdd2Apply,-1.0,1.0
pctCorrectAdd3Apply,-1.0,1.0
pctCorrectCompApply,-1.0,1.0
pctCorrectDeMorApply,-1.0,1.0
pctCorrectIndeApply,-1.0,1.0
pctCorrectMutualApply,-1.0,1.0
pctCorrectAdd2All,-1.0,1.0
pctCorrectAdd3All,-1.0,1.0
pctCorrectCompAll,-1.0,1.0
pctCorrectDeMorAll,-1.0,1.0
pctCorrectIndeAll,-1.0,1.0
pctCorrectMutualAll,-1.0,1.0
pctCorrectSelectMain,-1.0,1.0
nAdd2Prob,0.0,2.0
nAdd3Prob,0.0,1.0
nDeMorProb,0.0,3.0
nIndeProb,0.0,3.0
nCompProb,1.0,6.0
nMutualProb,0.0,2.0
